obligation_slug,jurisdiction,nist_control_id,coverage_level,notes
us-tx-traiga-552-055-constitutional,US-TX,MAP-3.2,supports,
us-tx-traiga-552-056-discrimination,US-TX,GAI-6,safe_harbor,GenAI harmful bias
us-tx-traiga-552-056-discrimination,US-TX,GOVERN-1.1,fully_satisfies,
us-tx-traiga-552-056-discrimination,US-TX,GOVERN-3.1,partially_satisfies,Diversity in risk mgmt
us-tx-traiga-552-056-discrimination,US-TX,MAP-1.2,partially_satisfies,Interdisciplinary actors
us-tx-traiga-552-056-discrimination,US-TX,MEASURE-2.11,fully_satisfies,Fairness & bias eval
us-tx-traiga-552-056-discrimination,US-TX,MANAGE-1.3,partially_satisfies,
us-tx-traiga-552-057-csam-explicit,US-TX,GAI-3,safe_harbor,
us-tx-traiga-552-057-csam-explicit,US-TX,GAI-11,safe_harbor,
us-tx-traiga-552-057-csam-explicit,US-TX,GAI-12,partially_satisfies,Value chain
us-tx-traiga-552-057-csam-explicit,US-TX,GOVERN-1.1,fully_satisfies,
us-tx-traiga-552-057-csam-explicit,US-TX,GOVERN-6.1,partially_satisfies,
us-tx-traiga-552-057-csam-explicit,US-TX,MAP-3.4,partially_satisfies,Content moderation
us-tx-traiga-552-057-csam-explicit,US-TX,MEASURE-2.6,fully_satisfies,CSAM/deepfake detection
us-tx-traiga-552-057-csam-explicit,US-TX,MANAGE-1.3,partially_satisfies,
us-tx-traiga-552-057-csam-explicit,US-TX,MANAGE-4.3,partially_satisfies,NCMEC reporting
us-tx-traiga-552-103-ag-investigation,US-TX,GOVERN-1.1,fully_satisfies,
us-tx-traiga-552-103-ag-investigation,US-TX,GOVERN-1.4,fully_satisfies,Documented process
us-tx-traiga-552-103-ag-investigation,US-TX,GOVERN-1.6,fully_satisfies,AI inventory
us-tx-traiga-552-103-ag-investigation,US-TX,MAP-1.1,fully_satisfies,
us-tx-traiga-552-103-ag-investigation,US-TX,MAP-2.1,fully_satisfies,
us-tx-traiga-552-103-ag-investigation,US-TX,MAP-2.2,fully_satisfies,Knowledge limits
us-tx-traiga-552-103-ag-investigation,US-TX,MAP-3.1,fully_satisfies,
us-tx-traiga-552-103-ag-investigation,US-TX,MEASURE-2.1,fully_satisfies,
us-tx-traiga-552-103-ag-investigation,US-TX,MEASURE-2.3,fully_satisfies,
us-tx-traiga-552-103-ag-investigation,US-TX,MANAGE-4.1,fully_satisfies,
us-tx-traiga-552-104-cure-period,US-TX,GOVERN-1.5,partially_satisfies,
us-tx-traiga-552-104-cure-period,US-TX,MANAGE-1.3,fully_satisfies,Cure response
us-tx-traiga-552-104-cure-period,US-TX,MANAGE-2.2,partially_satisfies,Policy revisions
us-tx-traiga-552-104-cure-period,US-TX,MANAGE-2.4,partially_satisfies,System supersession
us-tx-traiga-552-104-cure-period,US-TX,MANAGE-4.3,supports,Written statement
us-tx-traiga-552-105-nist-safe-harbor,US-TX,ALL-GENAI-PROFILE,safe_harbor,Direct statutory anchor
us-tx-traiga-553-sandbox,US-TX,GOVERN-1.1,fully_satisfies,
us-tx-traiga-553-sandbox,US-TX,GOVERN-1.4,fully_satisfies,
us-tx-traiga-553-sandbox,US-TX,MAP-1.1,partially_satisfies,
us-tx-traiga-553-sandbox,US-TX,MAP-5.1,partially_satisfies,Benefit assessment
us-tx-traiga-553-sandbox,US-TX,MAP-5.2,partially_satisfies,Mitigation plan
us-tx-traiga-553-sandbox,US-TX,MEASURE-2.3,fully_satisfies,Quarterly metrics
us-tx-traiga-553-sandbox,US-TX,MEASURE-3.3,fully_satisfies,Stakeholder feedback
us-tx-traiga-553-sandbox,US-TX,MANAGE-4.1,fully_satisfies,
ca-qc-law-25-s12-1-automated-decision-making,CA-QC,GOVERN-1.1,fully_satisfies,
ca-qc-law-25-s12-1-automated-decision-making,CA-QC,MAP-2.2,fully_satisfies,Explanation requirements
ca-qc-law-25-s12-1-automated-decision-making,CA-QC,MAP-3.1,fully_satisfies,
ca-qc-law-25-s12-1-automated-decision-making,CA-QC,MAP-3.5,fully_satisfies,Human oversight right
ca-qc-law-25-s12-1-automated-decision-making,CA-QC,MEASURE-2.8,fully_satisfies,
ca-qc-law-25-s12-1-automated-decision-making,CA-QC,MEASURE-2.9,fully_satisfies,Explainability
ca-qc-law-25-s12-1-automated-decision-making,CA-QC,MEASURE-3.3,fully_satisfies,Contestation right
ca-qc-law-25-s3-3-mandatory-pia,CA-QC,GOVERN-1.1,fully_satisfies,
ca-qc-law-25-s3-3-mandatory-pia,CA-QC,MAP-1.1,fully_satisfies,
ca-qc-law-25-s3-3-mandatory-pia,CA-QC,MAP-1.5,fully_satisfies,
ca-qc-law-25-s3-3-mandatory-pia,CA-QC,MAP-3.1,fully_satisfies,
ca-qc-law-25-s3-3-mandatory-pia,CA-QC,MAP-3.2,fully_satisfies,
ca-qc-law-25-s3-3-mandatory-pia,CA-QC,MAP-5.1,fully_satisfies,
ca-qc-law-25-s3-3-mandatory-pia,CA-QC,MEASURE-2.7,fully_satisfies,
ca-qc-law-25-s3-3-mandatory-pia,CA-QC,MEASURE-2.10,fully_satisfies,
ca-qc-law-25-s3-3-mandatory-pia,CA-QC,MANAGE-1.3,fully_satisfies,
ca-qc-law-25-s3-5-confidentiality-incident-notification,CA-QC,GAI-9,partially_satisfies,
ca-qc-law-25-s3-5-confidentiality-incident-notification,CA-QC,GOVERN-1.1,fully_satisfies,
ca-qc-law-25-s3-5-confidentiality-incident-notification,CA-QC,GOVERN-4.3,fully_satisfies,
ca-qc-law-25-s3-5-confidentiality-incident-notification,CA-QC,MEASURE-2.7,fully_satisfies,
ca-qc-law-25-s3-5-confidentiality-incident-notification,CA-QC,MANAGE-2.3,partially_satisfies,
ca-qc-law-25-s3-5-confidentiality-incident-notification,CA-QC,MANAGE-4.1,fully_satisfies,
ca-qc-law-25-s3-5-confidentiality-incident-notification,CA-QC,MANAGE-4.3,fully_satisfies,Individual notification
ca-qc-law-25-s14-consent,CA-QC,GOVERN-1.1,fully_satisfies,
ca-qc-law-25-s14-consent,CA-QC,GOVERN-5.1,partially_satisfies,
ca-qc-law-25-s14-consent,CA-QC,MAP-1.1,partially_satisfies,
ca-qc-law-25-s14-consent,CA-QC,MEASURE-2.10,fully_satisfies,
ca-qc-law-25-s17-cross-border-transfers,CA-QC,GAI-12,partially_satisfies,
ca-qc-law-25-s17-cross-border-transfers,CA-QC,GOVERN-1.1,fully_satisfies,
ca-qc-law-25-s17-cross-border-transfers,CA-QC,GOVERN-6.1,fully_satisfies,
ca-qc-law-25-s17-cross-border-transfers,CA-QC,GOVERN-6.2,fully_satisfies,
ca-qc-law-25-s17-cross-border-transfers,CA-QC,MAP-4.1,fully_satisfies,
ca-qc-law-25-s17-cross-border-transfers,CA-QC,MAP-4.2,fully_satisfies,
ca-qc-law-25-s17-cross-border-transfers,CA-QC,MEASURE-2.7,fully_satisfies,
ca-qc-law-25-s17-cross-border-transfers,CA-QC,MEASURE-2.10,fully_satisfies,
ca-qc-law-25-s17-cross-border-transfers,CA-QC,MANAGE-3.1,fully_satisfies,
ca-qc-law-25-s27-data-portability,CA-QC,GOVERN-1.1,fully_satisfies,
ca-qc-law-25-s27-data-portability,CA-QC,MAP-2.1,partially_satisfies,
ca-qc-law-25-s27-data-portability,CA-QC,MEASURE-2.8,partially_satisfies,
ca-qc-law-25-s3-1-privacy-officer,CA-QC,GOVERN-1.1,fully_satisfies,
ca-qc-law-25-s3-1-privacy-officer,CA-QC,GOVERN-2.1,fully_satisfies,
ca-qc-law-25-s3-1-privacy-officer,CA-QC,GOVERN-2.3,fully_satisfies,
ca-qc-law-25-s3-2-privacy-governance,CA-QC,GOVERN-1.1,fully_satisfies,
ca-qc-law-25-s3-2-privacy-governance,CA-QC,GOVERN-1.2,fully_satisfies,
ca-qc-law-25-s3-2-privacy-governance,CA-QC,GOVERN-1.3,fully_satisfies,
ca-qc-law-25-s3-2-privacy-governance,CA-QC,GOVERN-1.4,fully_satisfies,
ca-qc-law-25-s3-2-privacy-governance,CA-QC,GOVERN-2.2,fully_satisfies,
ca-qc-law-25-s3-2-privacy-governance,CA-QC,GOVERN-4.1,fully_satisfies,
ca-qc-law-25-s8-privacy-by-default,CA-QC,GAI-4,partially_satisfies,
ca-qc-law-25-s8-privacy-by-default,CA-QC,GOVERN-1.1,fully_satisfies,
ca-qc-law-25-s8-privacy-by-default,CA-QC,GOVERN-1.2,fully_satisfies,
ca-qc-law-25-s8-privacy-by-default,CA-QC,MAP-1.6,fully_satisfies,
ca-qc-law-25-s8-privacy-by-default,CA-QC,MEASURE-2.10,fully_satisfies,
ca-qc-law-25-s8-2-privacy-policy,CA-QC,GOVERN-1.1,fully_satisfies,
ca-qc-law-25-s8-2-privacy-policy,CA-QC,GOVERN-5.1,partially_satisfies,
ca-qc-law-25-s8-2-privacy-policy,CA-QC,MEASURE-2.8,fully_satisfies,
ca-qc-law-25-s28-1-deindexation,CA-QC,GOVERN-1.1,fully_satisfies,
ca-qc-law-25-s28-1-deindexation,CA-QC,MAP-3.5,partially_satisfies,
ca-qc-law-25-s28-1-deindexation,CA-QC,MANAGE-2.2,partially_satisfies,
ca-qc-law-25-s28-1-deindexation,CA-QC,MANAGE-2.4,partially_satisfies,
ca-qc-law-25-s28-1-deindexation,CA-QC,MANAGE-4.3,supports,
ca-qc-law-25-biometric-database-disclosure,CA-QC,GAI-4,safe_harbor,
ca-qc-law-25-biometric-database-disclosure,CA-QC,GOVERN-1.1,fully_satisfies,
ca-qc-law-25-biometric-database-disclosure,CA-QC,GOVERN-1.6,fully_satisfies,
ca-qc-law-25-biometric-database-disclosure,CA-QC,MEASURE-2.7,fully_satisfies,
ca-qc-law-25-biometric-database-disclosure,CA-QC,MEASURE-2.10,fully_satisfies,
ca-qc-law-25-s12-purpose-limitation,CA-QC,GOVERN-1.1,fully_satisfies,
ca-qc-law-25-s12-purpose-limitation,CA-QC,MAP-1.1,fully_satisfies,
ca-qc-law-25-s12-purpose-limitation,CA-QC,MAP-2.1,fully_satisfies,
ca-qc-law-25-s12-purpose-limitation,CA-QC,MAP-3.3,fully_satisfies,
ca-qc-law-25-s23-data-minimization-retention,CA-QC,GOVERN-1.1,fully_satisfies,
ca-qc-law-25-s23-data-minimization-retention,CA-QC,GOVERN-1.7,fully_satisfies,Decommissioning
ca-qc-law-25-s23-data-minimization-retention,CA-QC,MEASURE-2.7,fully_satisfies,
ca-qc-law-25-s23-data-minimization-retention,CA-QC,MANAGE-4.1,fully_satisfies,
ca-qc-law-25-s27-32-right-of-access,CA-QC,GOVERN-1.1,fully_satisfies,
ca-qc-law-25-s27-32-right-of-access,CA-QC,GOVERN-1.6,fully_satisfies,
ca-qc-law-25-s27-32-right-of-access,CA-QC,MAP-2.2,partially_satisfies,
ca-qc-law-25-s27-32-right-of-access,CA-QC,MEASURE-2.8,fully_satisfies,
ca-qc-law-25-s27-32-right-of-access,CA-QC,MEASURE-2.9,fully_satisfies,
ca-qc-law-25-s18-3-service-provider-agreements,CA-QC,GOVERN-1.1,fully_satisfies,
ca-qc-law-25-s18-3-service-provider-agreements,CA-QC,GOVERN-6.1,fully_satisfies,
ca-qc-law-25-s18-3-service-provider-agreements,CA-QC,GOVERN-6.2,fully_satisfies,
ca-qc-law-25-s18-3-service-provider-agreements,CA-QC,MAP-4.1,fully_satisfies,
ca-qc-law-25-s18-3-service-provider-agreements,CA-QC,MANAGE-3.1,fully_satisfies,
ca-qc-law-25-s23-anonymization-standard,CA-QC,GAI-4,partially_satisfies,
ca-qc-law-25-s23-anonymization-standard,CA-QC,GOVERN-1.1,fully_satisfies,
ca-qc-law-25-s23-anonymization-standard,CA-QC,GOVERN-4.1,fully_satisfies,
ca-qc-law-25-s23-anonymization-standard,CA-QC,GOVERN-4.2,fully_satisfies,
ca-qc-law-25-s23-anonymization-standard,CA-QC,MAP-3.2,partially_satisfies,
ca-qc-law-25-s23-anonymization-standard,CA-QC,MEASURE-1.3,fully_satisfies,
ca-qc-law-25-s23-anonymization-standard,CA-QC,MEASURE-2.10,fully_satisfies,
ca-qc-law-25-s23-anonymization-standard,CA-QC,MANAGE-3.2,partially_satisfies,
ca-on-bill-149-esa-8-4,CA-ON,GOVERN-1.1,fully_satisfies,
ca-on-bill-149-esa-8-4,CA-ON,GOVERN-1.6,fully_satisfies,
ca-on-bill-149-esa-8-4,CA-ON,MAP-1.1,partially_satisfies,
ca-on-bill-149-esa-8-4,CA-ON,MAP-3.3,partially_satisfies,
ca-on-bill-149-esa-8-4,CA-ON,MEASURE-2.8,fully_satisfies,
ca-on-human-rights-code-s9-no-infringement-via-tech,CA-ON,GAI-6,fully_satisfies,
ca-on-human-rights-code-s9-no-infringement-via-tech,CA-ON,GOVERN-1.1,fully_satisfies,
ca-on-human-rights-code-s9-no-infringement-via-tech,CA-ON,GOVERN-3.1,fully_satisfies,
ca-on-human-rights-code-s9-no-infringement-via-tech,CA-ON,MAP-1.2,fully_satisfies,
ca-on-human-rights-code-s9-no-infringement-via-tech,CA-ON,MAP-5.1,fully_satisfies,
ca-on-human-rights-code-s9-no-infringement-via-tech,CA-ON,MEASURE-2.11,fully_satisfies,
ca-on-human-rights-code-s9-no-infringement-via-tech,CA-ON,MANAGE-1.3,fully_satisfies,
ca-on-mfippa-pia-mandatory-bill97,CA-ON,GOVERN-1.1,fully_satisfies,
ca-on-mfippa-pia-mandatory-bill97,CA-ON,MAP-1.1,fully_satisfies,
ca-on-mfippa-pia-mandatory-bill97,CA-ON,MAP-3.1,fully_satisfies,
ca-on-mfippa-pia-mandatory-bill97,CA-ON,MAP-5.1,fully_satisfies,
ca-on-mfippa-pia-mandatory-bill97,CA-ON,MEASURE-2.10,fully_satisfies,
ca-on-mfippa-pia-mandatory-bill97,CA-ON,MANAGE-1.3,fully_satisfies,
ca-on-mfippa-safeguards-bill97,CA-ON,GOVERN-1.1,fully_satisfies,
ca-on-mfippa-safeguards-bill97,CA-ON,GOVERN-4.1,fully_satisfies,
ca-on-mfippa-safeguards-bill97,CA-ON,MEASURE-2.7,fully_satisfies,
ca-on-mfippa-safeguards-bill97,CA-ON,MANAGE-4.1,fully_satisfies,
ca-on-mfippa-breach-reporting-bill97,CA-ON,GOVERN-1.1,fully_satisfies,
ca-on-mfippa-breach-reporting-bill97,CA-ON,GOVERN-4.3,fully_satisfies,
ca-on-mfippa-breach-reporting-bill97,CA-ON,MANAGE-2.3,partially_satisfies,
ca-on-mfippa-breach-reporting-bill97,CA-ON,MANAGE-4.1,fully_satisfies,
ca-on-mfippa-breach-reporting-bill97,CA-ON,MANAGE-4.3,fully_satisfies,
ca-on-mfippa-ipc-binding-orders-bill97,CA-ON,GOVERN-1.1,fully_satisfies,
ca-on-mfippa-ipc-binding-orders-bill97,CA-ON,GOVERN-1.5,partially_satisfies,
ca-on-mfippa-ipc-binding-orders-bill97,CA-ON,MANAGE-2.4,partially_satisfies,
ca-on-mfippa-whistleblower-bill97,CA-ON,GOVERN-1.1,fully_satisfies,
ca-on-mfippa-whistleblower-bill97,CA-ON,GOVERN-5.1,fully_satisfies,
ca-on-mfippa-whistleblower-bill97,CA-ON,GOVERN-5.2,partially_satisfies,
